Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
JSE:TGA,"Thungela Resources Limited (JSE:TGA)",https://www.listcorp.com/jse/tga/thungela-resources,"	17959200000",127.83,0.00,0,"Basic Materials"
JSE:TKG,"Telkom SA Limited (JSE:TKG)",https://www.listcorp.com/jse/tkg/telkom-sa-limited,"	17317400000",33.88,0.00,0,Telecommunications
JSE:GTC,"Globe Trade Centre S.A. (JSE:GTC)",https://www.listcorp.com/jse/gtc/globe-trade-centre-sa,"	17227700000",30,0.00,0,Financials
JSE:HYP,"Hyprop Investments Limited (JSE:HYP)",https://www.listcorp.com/jse/hyp/hyprop-investments-limited,"	17000000000",44.69,0.00,0,Financials
JSE:BAW,"Barloworld Limited (JSE:BAW)",https://www.listcorp.com/jse/baw/barloworld-limited,"	16220100000",85.53,0.00,0,Industrials
JSE:PMR,"Premier Group Limited (JSE:PMR)",https://www.listcorp.com/jse/pmr/premier-group-limited,"	15674900000",121.6,0.00,0,"Consumer Goods"
JSE:LTE,"Lighthouse Capital Limited (JSE:LTE)",https://www.listcorp.com/jse/lte/lighthouse-capital-limited,"	15600100000",7.71,0.00,0,Financials
JSE:DRD,"DRDGOLD Limited (JSE:DRD)",https://www.listcorp.com/jse/drd/drdgold-limited,"	15303200000",17.7,0.00,0,"Basic Materials"
JSE:MSP,"MAS Real Estate Inc (JSE:MSP)",https://www.listcorp.com/jse/msp/mas-real-estate-inc,"	14838500000",20.72,0.00,0,Financials
JSE:HCI,"Hosken Consolidated Investments Limited (JSE:HCI)",https://www.listcorp.com/jse/hci/hosken-consolidated-investments-limited,"	14797800000",172.83,0.00,0,Financials
JSE:WBO,"Wilson Bayly Holmes-Ovcon Limited (JSE:WBO)",https://www.listcorp.com/jse/wbo/wilson-bayly-holmes-ovcon-limited,"	14494900000",204.1,0.00,0,Industrials
JSE:CML,"Coronation Fund Managers (JSE:CML)",https://www.listcorp.com/jse/cml/coronation-fund-managers,"	14099100000",40.33,0.00,0,Financials
JSE:RLO,"Reunert Limited (JSE:RLO)",https://www.listcorp.com/jse/rlo/reunert-limited,"	13888000000",76.03,0.00,0,Industrials
JSE:EQU,"Equites Property Fund Limited (JSE:EQU)",https://www.listcorp.com/jse/equ/equites-property-fund-limited,"	12093400000",14.48,0.00,0,Financials
JSE:AIL,"African Rainbow Capital Investments (JSE:AIL)",https://www.listcorp.com/jse/ail/african-rainbow-capital-investments,"	11992200000",7.9,0.00,0,Financials
JSE:OMN,"Omnia Holdings Limited (JSE:OMN)",https://www.listcorp.com/jse/omn/omnia-holdings-limited,"	11951900000",72.91,0.00,0,"Basic Materials"
JSE:SUI,"Sun International Limited (JSE:SUI)",https://www.listcorp.com/jse/sui/sun-international-limited,"	11140500000",43.15,0.00,0,"Consumer Services"
JSE:AIP,"Adcock Ingram Holdings (JSE:AIP)",https://www.listcorp.com/jse/aip/adcock-ingram-holdings,"	11091000000",68.76,0.00,0,"Health Care"
JSE:TSG,"Tsogo Sun Gaming (JSE:TSG)",https://www.listcorp.com/jse/tsg/tsogo-sun-gaming,"	11041100000",10.59,0.00,0,"Consumer Services"
JSE:AFT,"Afrimat Limited (JSE:AFT)",https://www.listcorp.com/jse/aft/afrimat-limited,"	10400700000",65.13,0.00,0,Industrials
JSE:NY1,"Ninety One Limited (JSE:NY1)",https://www.listcorp.com/jse/ny1/ninety-one-limited,"	10282500000",37.2,0.00,0,Financials
JSE:JSE,"JSE Limited (JSE:JSE)",https://www.listcorp.com/jse/jse/jse-limited,"	10207200000",118.2,0.00,0,Financials
JSE:DTC,"Datatec Limited (JSE:DTC)",https://www.listcorp.com/jse/dtc/datatec-limited,"	10149700000",43.52,0.00,0,Technology
JSE:ATT,"Attacq Limited (JSE:ATT)",https://www.listcorp.com/jse/att/attacq-limited,"	9827430000",13.17,0.00,0,Financials
JSE:AFH,"Alexander Forbes Group Holdings Limited (JSE:AFH)",https://www.listcorp.com/jse/afh/alexander-forbes,"	9824110000",7.4,0.00,0,Financials
JSE:AFE,"AECI Limited (JSE:AFE)",https://www.listcorp.com/jse/afe/aeci-limited,"	9718190000",92.1,0.00,0,"Basic Materials"
JSE:SPG,"Super Group Limited (JSE:SPG)",https://www.listcorp.com/jse/spg/super-group-limited,"	9676400000",28.46,0.00,0,Industrials
JSE:RBX,"Raubex Group Limited (JSE:RBX)",https://www.listcorp.com/jse/rbx/raubex-group-limited,"	9561870000",52.61,0.00,0,Industrials
JSE:GND,"Grindrod Limited (JSE:GND)",https://www.listcorp.com/jse/gnd/grindrod-limited,"	9004610000",12.9,0.00,0,Industrials
JSE:OCE,"Oceana Group Limited (JSE:OCE)",https://www.listcorp.com/jse/oce/oceana-group-limited,"	8804150000",67.5,0.00,0,"Consumer Goods"
JSE:AEL,"Allied Electronics Corporation (JSE:AEL)",https://www.listcorp.com/jse/ael/allied-electronics-corporation,"	8310120000",20.2,0.00,0,Technology
JSE:KAP,"KAP Limited (JSE:KAP)",https://www.listcorp.com/jse/kap/kap-limited,"	8229270000",3.3,0.00,0,Industrials
JSE:ARL,"Astral Foods Limited (JSE:ARL)",https://www.listcorp.com/jse/arl/astral-foods-limited,"	8155220000",190,0.00,0,"Consumer Goods"
JSE:RCL,"RCL Foods Limited (JSE:RCL)",https://www.listcorp.com/jse/rcl/rcl-foods-limited,"	8133510000",9.1,0.00,0,"Consumer Goods"
JSE:CAA,"CA Sales Holdings Limited (JSE:CAA)",https://www.listcorp.com/jse/caa/ca-sales-holdings-limited,"	8112860000",16.94,0.00,0,Industrials
JSE:CVW,"Castleview Property Fund Limited (JSE:CVW)",https://www.listcorp.com/jse/cvw/castleview-property-fund-limited,"	8072170000",8.2,0.00,0,Financials
JSE:IPF,"Investec Property Fund Limited (JSE:IPF)",https://www.listcorp.com/jse/ipf/investec-property-fund-limited,"	7928450000",9.83,-0.02,-0.2,Financials
JSE:BAT,"Brait PLC (JSE:BAT)",https://www.listcorp.com/jse/bat/brait-plc,"	7764000000",2.01,0.00,0,Financials
JSE:COH,"Curro Holdings Limited (JSE:COH)",https://www.listcorp.com/jse/coh/curro-holdings-limited,"	7685200000",13.34,0.00,0,"Consumer Services"
JSE:SSS,"Stor-Age Property REIT (JSE:SSS)",https://www.listcorp.com/jse/sss/stor-age-property-reit,"	7321280000",15.2,0.00,0,Financials
JSE:SAC,"SA Corporate Real Estate Fund Limited (JSE:SAC)",https://www.listcorp.com/jse/sac/sa-corporate-real-estate-fund-limited,"	7292720000",2.9,0.00,0,Financials
JSE:PPC,"PPC Limited (JSE:PPC)",https://www.listcorp.com/jse/ppc/ppc-limited,"	7178390000",4.62,0.00,0,Industrials
JSE:FBR,"Famous Brands Limited (JSE:FBR)",https://www.listcorp.com/jse/fbr/famous-brands-limited,"	6727580000",67.14,0.00,0,"Consumer Services"
JSE:CLI,"Clientele Limited (JSE:CLI)",https://www.listcorp.com/jse/cli/clientele-limited,"	6344230000",14,0.00,0,Financials
