BHG.JO,BHP Group Limited (JSE:BHG),https://www.listcorp.com/jse/bhg/bhp-group-limited,2388840000000,470.81,0.0,0.0,Basic Materials
PRX.JO,Prosus N.V. (JSE:PRX),https://www.listcorp.com/jse/prx/prosus-nv,1805770000000,726.0,0.0,0.0,Technology
ANH.JO,Anheuser-Busch Inbev (JSE:ANH),https://www.listcorp.com/jse/anh/anheuser-busch-inbev,1732700000000,964.11,0.0,0.0,Consumer Goods
BTI.JO,British American Tobacco (JSE:BTI),https://www.listcorp.com/jse/bti/british-american-tobacco,1606130000000,683.1,0.0,0.0,Consumer Goods
CFR.JO,Compagnie Fin Richemont (JSE:CFR),https://www.listcorp.com/jse/cfr/compagnie-fin-richemont,1338560000000,2489.97,0.0,0.0,Consumer Goods
GLN.JO,Glencore plc (JSE:GLN),https://www.listcorp.com/jse/gln/glencore-plc,1167470000000,86.16,0.0,0.0,Basic Materials
AGL.JO,Anglo American plc (JSE:AGL),https://www.listcorp.com/jse/agl/anglo-american-plc,760212000000,568.35,0.0,0.0,Basic Materials
NPN.JO,Naspers Limited - N (JSE:NPN),https://www.listcorp.com/jse/npn/naspers-limited-n,726165000000,4068.0,0.0,0.0,Technology
FSR.JO,Firstrand Limited (JSE:FSR),https://www.listcorp.com/jse/fsr/firstrand-limited,431594000000,76.94,0.0,0.0,Financials
SBK.JO,Standard Bank Group (JSE:SBK),https://www.listcorp.com/jse/sbk/standard-bank-group,395209000000,236.88,0.0,0.0,Financials
CPI.JO,Capitec Bank Holdings Limited (JSE:CPI),https://www.listcorp.com/jse/cpi/capitec-bank-holdings-limited,378622000000,3261.18,0.0,0.0,Financials
GFI.JO,Gold Fields Limited (JSE:GFI),https://www.listcorp.com/jse/gfi/gold-fields-limited,229252000000,256.14,0.0,0.0,Basic Materials
ANG.JO,Anglogold Ashanti (JSE:ANG),https://www.listcorp.com/jse/ang/anglogold-ashanti,227628000000,452.2,0.0,0.0,Basic Materials
VOD.JO,Vodacom Group Limited (JSE:VOD),https://www.listcorp.com/jse/vod/vodacom-group-limited,210527000000,101.32,0.0,0.0,Telecommunications
S32.JO,South32 Limited (JSE:S32),https://www.listcorp.com/jse/s32/south32-limited,196482000000,43.45,0.0,0.0,Basic Materials
SLM.JO,Sanlam Limited (JSE:SLM),https://www.listcorp.com/jse/slm/sanlam-limited,186521000000,88.1,0.0,0.0,Financials
SHP.JO,Shoprite Holdings Limited (JSE:SHP),https://www.listcorp.com/jse/shp/shoprite-holdings-limited,174912000000,295.79,0.0,0.0,Consumer Services
AMS.JO,Anglo American Platinum Ltd (JSE:AMS),https://www.listcorp.com/jse/ams/anglo-american-platinum-ltd,157523000000,593.77,0.0,0.0,Basic Materials
ABG.JO,Absa Group Limited (JSE:ABG),https://www.listcorp.com/jse/abg/absa-group-limited,154280000000,172.5,0.0,0.0,Financials
MTN.JO,MTN Group Limited (JSE:MTN),https://www.listcorp.com/jse/mtn/mtn-group-limited,152136000000,80.74,0.0,0.0,Telecommunications
BID.JO,Bid Corporation Limited (JSE:BID),https://www.listcorp.com/jse/bid/bidcorp,148646000000,441.21,0.0,0.0,Consumer Services
NED.JO,Nedbank Group Limited (JSE:NED),https://www.listcorp.com/jse/ned/nedbank-group-limited,140931000000,288.78,0.0,0.0,Financials
DSY.JO,Discovery Limited (JSE:DSY),https://www.listcorp.com/jse/dsy/discovery-limited,130331000000,192.69,0.0,0.0,Financials
MNP.JO,Mondi plc (JSE:MNP),https://www.listcorp.com/jse/mnp/mondi-plc,119976000000,271.8,0.0,0.0,Basic Materials
KIO.JO,Kumba Iron Ore (JSE:KIO),https://www.listcorp.com/jse/kio/kumba-iron-ore,107116000000,332.57,0.0,0.0,Basic Materials
HAR.JO,Harmony Gold Mining Company (JSE:HAR),https://www.listcorp.com/jse/har/harmony-gold-mining-company,104737000000,165.0,0.0,0.0,Basic Materials
NHM.JO,Northam Platinum Limited (JSE:NHM),https://www.listcorp.com/jse/nhm/northam-platinum-limited,101604000000,189.66,-9.65,-4.84,Basic Materials
OUT.JO,OUTsurance Holdings Limited (JSE:OUT),https://www.listcorp.com/jse/out/outsurance-holdings-limited,99974900000,64.65,0.0,0.0,Financials
NRP.JO,Nepi Rockcastle plc (JSE:NRP),https://www.listcorp.com/jse/nrp/nepi-rockcastle-plc,99559100000,139.76,0.0,0.0,Financials
PPH.JO,Pepkor Holdings Limited (JSE:PPH),https://www.listcorp.com/jse/pph/pepkor-holdings-limited,98464100000,26.73,0.0,0.0,Consumer Services
RNI.JO,Reinet Investments S.C.A. (JSE:RNI),https://www.listcorp.com/jse/rni/reinet-investments,93969500000,479.58,0.0,0.0,Financials
BVT.JO,Bidvest Group (JSE:BVT),https://www.listcorp.com/jse/bvt/bidvest-group,93946300000,276.09,0.0,0.0,Industrials
CLS.JO,Clicks Group Limited (JSE:CLS),https://www.listcorp.com/jse/cls/clicks-group-limited,93534700000,392.9,0.0,0.0,Consumer Services
IMP.JO,Impala Platinum Holdings Limited (JSE:IMP),https://www.listcorp.com/jse/imp/implats,92236500000,101.99,0.0,0.0,Basic Materials
INP.JO,Investec plc (JSE:INP),https://www.listcorp.com/jse/inp/investec-plc,90386300000,129.85,0.0,0.0,Financials
REM.JO,Remgro Limited (JSE:REM),https://www.listcorp.com/jse/rem/remgro-limited,79742400000,150.68,0.0,0.0,Financials
MRP.JO,Mr Price Group (JSE:MRP),https://www.listcorp.com/jse/mrp/mr-price-group,73969900000,287.83,0.0,0.0,Consumer Services
APN.JO,Aspen Pharmacare Holdings Limited (JSE:APN),https://www.listcorp.com/jse/apn/aspen-pharmacare-holdings,73921700000,165.65,0.0,0.0,Health Care
WHL.JO,Woolworths Holdings Limited (JSE:WHL),https://www.listcorp.com/jse/whl/woolworths-holdings-limited,62129700000,62.84,0.0,0.0,Consumer Services
OMU.JO,Old Mutual Limited (JSE:OMU),https://www.listcorp.com/jse/omu/old-mutual-limited,60796600000,12.69,0.0,0.0,Financials
EXX.JO,Exxaro Resources Limited (JSE:EXX),https://www.listcorp.com/jse/exx/exxaro-resources-limited,58306000000,166.92,0.0,0.0,Basic Materials
SOL.JO,Sasol Limited (JSE:SOL),https://www.listcorp.com/jse/sol/sasol-limited,56504300000,87.87,0.0,0.0,Basic Materials
TFG.JO,The Foschini Group (JSE:TFG),https://www.listcorp.com/jse/tfg/the-foschini-group,56426900000,170.46,0.0,0.0,Consumer Services
